egin{table}
egin{tabular}{|l|c|}
\hline 
star	teff	erteff	logg	erlogg	vtur	ervtur	feh	erfeh	NFEI	NFEII	mass	logg_hip	lumsol	erloglumsol	Mv	planet	sums\\ \hline
--------	----	------	----	------	----	------	-----	-----	----	-----	-----	--------	------	-----------	----	------	------\\ \hline
55	4679	76	4.51	0.16	0.05	1.79	-0.66	0.02	219	17	0.652	4.79	0.124	0.011	7.47	no	384.4\\ \hline
142	6403	65	4.62	0.07	1.74	0.08	0.09	0.05	187	30	1.291	4.30	2.681	0.014	3.66	yes	757.6\\ \hline
283	5157	28	4.51	0.05	0.45	0.10	-0.54	0.02	252	31	0.611	4.50	0.340	0.034	6.14	no	277.4\\ \hline
361	5913	15	4.60	0.02	1.00	0.02	-0.12	0.01	258	34	1.042	4.52	0.955	0.024	4.83	no	662.6\\ \hline
750	5060	33	4.39	0.07	0.59	0.09	-0.29	0.02	252	33	0.686	4.54	0.323	0.034	6.23	no	115.8\\ \hline
870	5381	26	4.42	0.05	0.79	0.05	-0.10	0.02	254	32	0.860	4.56	0.486	0.014	5.68	no	301.7\\ \hline
967	5564	16	4.51	0.03	0.79	0.03	-0.68	0.01	251	34	0.667	4.35	0.702	0.044	5.23	no	421.9\\ \hline
1237	5514	36	4.50	0.07	1.09	0.05	0.07	0.03	249	32	0.939	4.53	0.631	0.008	5.36	yes	394.3\\ \hline
1320	5679	14	4.49	0.02	0.85	0.02	-0.27	0.01	253	32	0.871	4.48	0.746	0.027	5.14	no	338.6\\ \hline
1388	5954	10	4.41	0.02	1.13	0.01	-0.01	0.01	253	34	1.044	4.37	1.385	0.019	4.42	no	794.0\\ \hline
1461	5765	18	4.38	0.03	0.97	0.02	0.19	0.01	258	35	1.018	4.37	1.188	0.017	4.62	no	1789.1\\ \hline
1581	5977	12	4.51	0.03	1.12	0.01	-0.18	0.01	248	33	0.995	4.41	1.218	0.005	4.56	no	1120.3\\ \hline
2025	4939	53	4.58	0.10	0.61	0.17	-0.35	0.03	253	31	0.712	4.66	0.230	0.017	6.64	no	392.3\\ \hline
2071	5719	14	4.47	0.02	0.95	0.01	-0.09	0.01	253	33	0.947	4.50	0.798	0.019	5.06	no	468.0\\ \hline
2638	5198	52	4.43	0.09	0.74	0.11	0.12	0.04	255	36	0.805	4.50	0.463	0.063	5.79	yes	325.9\\ \hline
3569	5155	32	4.54	0.06	0.60	0.07	-0.32	0.02	253	33	0.716	4.55	0.348	0.044	6.11	no	227.5\\ \hline
3823	6022	14	4.31	0.02	1.39	0.02	-0.28	0.01	245	35	1.013	4.15	2.306	0.012	3.86	no	792.3\\ \hline
4208	5599	19	4.44	0.02	0.78	0.03	-0.28	0.01	257	32	0.827	4.45	0.713	0.031	5.21	yes	322.9\\ \hline
4307	5812	14	4.10	0.02	1.22	0.01	-0.23	0.01	256	35	0.975	3.97	2.924	0.029	3.63	no	1017.9\\ \hline
4308	5644	16	4.38	0.03	0.90	0.02	-0.34	0.01	258	33	0.803	4.31	0.980	0.011	4.85	yes	2000.1\\ \hline
4915	5658	13	4.52	0.03	0.90	0.02	-0.21	0.01	254	34	0.909	4.53	0.672	0.019	5.26	no	780.3\\ \hline
6348	5107	28	4.51	0.05	0.07	0.38	-0.56	0.02	251	32	0.563	4.45	0.333	0.039	6.18	no	217.8\\ \hline
6673	4960	59	4.49	0.11	0.58	0.19	-0.26	0.03	254	32	0.700	4.60	0.260	0.027	6.50	no	287.5\\ \hline
6735	6082	15	4.49	0.02	1.15	0.02	-0.06	0.01	251	34	1.086	4.41	1.431	0.021	4.37	no	550.5\\ \hline
